trun,r,c,rr,cc,value,scenario
2015,west,ksa,sout,ksa,15.67501287629236,A
2015,east,ksa,cent,ksa,4.88251426770275,A
2015,adwe,uae,dewa,uae,9.348127589774528,A
2015,adwe,uae,sewa,uae,8.49449828064684,A
2015,dewa,uae,adwe,uae,0.9189100300372797,A
2015,dewa,uae,sewa,uae,5.808753368236949,A
2015,dewa,uae,fewa,uae,9.010056859262516,A
2015,sewa,uae,adwe,uae,0.5645832716502336,A
2015,sewa,uae,dewa,uae,4.541006579393505,A
2015,sewa,uae,fewa,uae,5.545124539646228,A
2015,fewa,uae,dewa,uae,1.826222108930475,A
2015,fewa,uae,sewa,uae,2.796900772145607,A
2016,west,ksa,sout,ksa,15.76972706522836,A
2016,west,ksa,cent,ksa,8.77701228171592,A
2016,east,ksa,cent,ksa,5.316766885060006,A
2016,adwe,uae,dewa,uae,9.498851251347455,A
2016,adwe,uae,sewa,uae,8.418399736450288,A
2016,dewa,uae,adwe,uae,0.6893377954975928,A
2016,dewa,uae,sewa,uae,5.885142103071609,A
2016,dewa,uae,fewa,uae,9.283064461461262,A
2016,sewa,uae,adwe,uae,0.4993719327101481,A
2016,sewa,uae,dewa,uae,4.033065994006136,A
2016,sewa,uae,fewa,uae,5.222658761150472,A
2016,fewa,uae,dewa,uae,1.2105886052727104,A
2016,fewa,uae,sewa,uae,2.5296108600681126,A
2017,west,ksa,sout,ksa,18.90356574899806,A
2017,west,ksa,cent,ksa,10.783674610865097,A
2017,east,ksa,cent,ksa,6.4009904224409,A
2017,adwe,uae,dewa,uae,8.670252284662226,A
2017,adwe,uae,sewa,uae,8.660442422668305,A
2017,dewa,uae,adwe,uae,1.7890734389460183,A
2017,dewa,uae,sewa,uae,5.177539199567703,A
2017,dewa,uae,fewa,uae,8.871762073844232,A
2017,sewa,uae,adwe,uae,0.6313870908867681,A
2017,sewa,uae,dewa,uae,4.8187168739988175,A
2017,sewa,uae,fewa,uae,6.460677733114364,A
2017,fewa,uae,dewa,uae,1.565969741821016,A
2017,fewa,uae,sewa,uae,2.141954395381169,A
2018,sout,ksa,cent,ksa,1.3409973335020031,A
2018,west,ksa,sout,ksa,14.280690333554896,A
2018,west,ksa,cent,ksa,10.257715850616199,A
2018,east,ksa,cent,ksa,6.036884471180019,A
2018,adwe,uae,dewa,uae,8.17288365935038,A
2018,adwe,uae,sewa,uae,8.205240711410617,A
2018,dewa,uae,adwe,uae,2.153247595580045,A
2018,dewa,uae,sewa,uae,5.180827738447854,A
2018,dewa,uae,fewa,uae,8.833421580682279,A
2018,sewa,uae,adwe,uae,1.0160703191635874,A
2018,sewa,uae,dewa,uae,4.723016270061605,A
2018,sewa,uae,fewa,uae,6.794718876082095,A
2018,fewa,uae,dewa,uae,1.5192998222148375,A
2018,fewa,uae,sewa,uae,1.8171063514511625,A
2019,sout,ksa,cent,ksa,0.8569454571301828,A
2019,west,ksa,sout,ksa,18.940540540540546,A
2019,west,ksa,cent,ksa,11.615469613259673,A
2019,east,ksa,cent,ksa,4.739157384355628,A
2019,adwe,uae,dewa,uae,10.093629085162636,A
2019,adwe,uae,sewa,uae,8.985338807745523,A
2019,dewa,uae,adwe,uae,0.8454682138776977,A
2019,dewa,uae,sewa,uae,5.29227018922667,A
2019,dewa,uae,fewa,uae,9.340053382601333,A
2019,sewa,uae,adwe,uae,0.45894185957325345,A
2019,sewa,uae,dewa,uae,4.61315697598409,A
2019,sewa,uae,fewa,uae,7.015612938195136,A
2019,fewa,uae,dewa,uae,1.0820648743139376,A
2019,fewa,uae,sewa,uae,1.7538959851368234,A
2020,sout,ksa,west,ksa,0.6980162474176522,A
2020,sout,ksa,cent,ksa,0.2933611908887963,A
2020,sout,ksa,east,ksa,0.005864794156950831,A
2020,west,ksa,sout,ksa,15.504198967987556,A
2020,west,ksa,cent,ksa,1.3043909842401926,A
2020,west,ksa,east,ksa,1726.9932260758615,A
2020,cent,ksa,sout,ksa,0.1263366239029437,A
2020,cent,ksa,west,ksa,0.005122858125094471,A
2020,cent,ksa,east,ksa,0.0001658081996551464,A
2020,east,ksa,sout,ksa,0.0059192052358307806,A
2020,east,ksa,west,ksa,1666.5198531479414,A
2020,east,ksa,cent,ksa,40.366318981958095,A
