c,trun,ELp,value,scenario
kuw,2030,CoalSteam,1.2023613251615926,C
bah,2028,CC,0.262827414459304,C
bah,2029,CC,0.15661897375611958,C
bah,2030,CC,0.13505007264291313,C
omn,2016,CC,0.121,C
omn,2019,CC,3.269,C
omn,2021,CC,0.5,C
omn,2022,CC,0.7,C
ksa,2016,Steam,4.38,D
ksa,2016,GT,0.357,D
ksa,2016,CC,3.927,D
ksa,2017,Steam,3.64,D
ksa,2017,GT,0.141,D
ksa,2017,Wind,0.003,D
ksa,2018,Steam,0.392,D
ksa,2018,GT,0.754,D
ksa,2018,CC,2.06,D
ksa,2019,GT,0.02243960717963813,D
ksa,2019,CC,1.504,D
ksa,2019,PV,0.31,D
ksa,2020,CC,7.02,D
ksa,2020,GTtoCC,3.586,D
ksa,2020,CSP,0.18,D
ksa,2021,CC,5.4,D
ksa,2025,CC,2.957327645646182,D
ksa,2026,CC,5.174817063535593,D
ksa,2027,CC,5.579313666743759,D
ksa,2028,CC,6.9957425646693725,D
ksa,2029,CC,8.62861969588437,D
ksa,2030,CC,3.6842638330932918,D
ksa,2030,PV,11.430528665973748,D
uae,2016,CC,0.34,D
uae,2017,GT,0.3747775174502351,D
uae,2017,PV,0.2,D
uae,2018,GT,1.0690318174867444,D
uae,2018,CC,1.24,D
uae,2018,PV,0.2,D
uae,2020,GTtoCC,0.0703,D
uae,2020,Nuclear,5.6,D
uae,2020,PV,1.7770000000000001,D
uae,2021,CoalSteam,1.8,D
uae,2022,PV,0.15,D
uae,2023,CoalSteam,2.4,D
uae,2027,CC,0.06578438201209388,D
uae,2028,CC,0.1641304860968496,D
uae,2029,CC,2.587862338734056,D
uae,2030,CC,2.110091940723126,D
qat,2016,GT,0.0770041077608222,D
qat,2020,GTtoCC,0.08750000000000001,D
qat,2022,CC,0.4547056499339791,D
qat,2023,CC,0.35525675176126115,D
qat,2024,CC,1.0384456591367563,D
qat,2025,CC,0.5618178283859684,D
qat,2026,CC,0.5618638157394344,D
qat,2027,CC,0.6421662307143581,D
qat,2028,CC,0.6421204289993263,D
qat,2029,CC,0.7223907340154325,D
qat,2030,CC,0.7223906818570808,D
kuw,2025,Nuclear,1.4177366126175286,D
kuw,2027,Nuclear,0.724907031391223,D
kuw,2028,Nuclear,0.0818704889465014,D
kuw,2029,Nuclear,0.850187318560834,D
kuw,2030,Nuclear,0.3862666370158257,D
bah,2028,CC,0.2614104252308876,D
bah,2029,CC,0.7347607569705626,D
bah,2030,CC,0.1399185185106804,D
omn,2016,CC,0.121,D
omn,2019,CC,3.269,D
omn,2021,CC,0.5,D
omn,2022,CC,0.7,D
ksa,2016,Steam,4.38,E
ksa,2016,GT,0.357,E
ksa,2016,CC,3.927,E
ksa,2017,Steam,3.64,E
ksa,2017,GT,0.141,E
ksa,2017,Wind,0.003,E
ksa,2018,Steam,0.392,E
ksa,2018,GT,0.754,E
ksa,2018,CC,2.06,E
ksa,2019,GT,8.633385200103108,E
ksa,2019,CC,1.504,E
ksa,2019,PV,0.31,E
ksa,2020,CC,7.02,E
ksa,2020,GTtoCC,3.586,E
ksa,2020,CSP,0.18,E
ksa,2021,CC,5.4,E
ksa,2021,PV,22.16401601081914,E
ksa,2022,CC,1.2391052777036682,E
ksa,2023,CC,2.310862844206156,E
ksa,2024,CC,3.8443238982678527,E
ksa,2025,CC,3.1888702492358347,E
ksa,2026,CC,4.811670451143967,E
ksa,2027,CC,5.5411234160029945,E
ksa,2028,CC,4.501355098554387,E
ksa,2029,CC,4.101867350943535,E
ksa,2030,CC,3.575799174977375,E
uae,2016,CC,0.34,E
uae,2017,GT,0.3747775174502351,E
uae,2017,PV,0.2,E
uae,2018,GT,1.0690318174867444,E
uae,2018,CC,1.24,E
uae,2018,PV,0.2,E
uae,2019,GT,0.8875421531542969,E
uae,2020,GT,0.7217657683572248,E
uae,2020,GTtoCC,0.0703,E
uae,2020,Nuclear,5.6,E
uae,2020,PV,1.7770000000000001,E
uae,2021,Steam,0.8280784306425996,E
uae,2021,CoalSteam,1.8,E
uae,2021,PV,13.534355532256816,E
uae,2022,CC,8.907183661981946,E
uae,2022,PV,0.15,E
uae,2023,CoalSteam,2.4,E
qat,2016,GT,0.0770041077608222,E
qat,2019,GT,2.0606094652086058,E
qat,2020,GT,0.4234200907932971,E
qat,2020,GTtoCC,0.08750000000000001,E
qat,2021,Steam,1.3442905464960484,E
qat,2021,PV,5.335862686864422,E
qat,2022,CC,0.5727821160529817,E
qat,2024,CC,0.0029269185210715597,E
qat,2025,CC,0.2664497800543978,E
qat,2026,CC,0.2659778527019288,E
qat,2027,CC,0.3073809850903449,E
qat,2028,CC,0.3075810698191444,E
qat,2029,CC,0.3489807580278105,E
qat,2030,CC,0.3491768474732709,E
kuw,2019,GT,2.2631022145954645,E
kuw,2020,GT,0.6223776067153094,E
kuw,2021,PV,12.020934645441812,E
kuw,2022,CC,8.588743611285917,E
