trun,c,ELp,value,scenario
2022,qat,Cogen,48.27373200000003,A
2022,qat,CCGT,8.258386967498975,A
2022,kuw,Cogen,94.5524863579123,A
2022,bah,Steam,5.529571818704463,A
2022,bah,GT,0.6037969730158109,A
2022,bah,Cogen,0.7884,A
2022,bah,CCGT,14.944835784884441,A
2022,omn,Cogen,10.695447040184145,A
2022,omn,CCGT,34.10748281152371,A
2023,ksa,Steam,178.96364457505956,A
2023,ksa,GT,10.29605500431762,A
2023,ksa,PV,0.03895561464276278,A
2023,ksa,Cogen,71.47890681784271,A
2023,ksa,CCGT,244.09361511154177,A
2023,uae,GT,11.39794999346999,A
2023,uae,CoalSteam,11.651734594428884,A
2023,uae,Nuclear,42.188159999999996,A
2023,uae,PV,0.02578113537177416,A
2023,uae,CSP,0.14784180064698368,A
2023,uae,Cogen,97.81689055622925,A
2023,uae,CCGT,21.260250737175475,A
2023,qat,Steam,0.6972157039116744,A
2023,qat,GT,1.5361797818162068,A
2023,qat,Cogen,48.273732000000145,A
2023,qat,CCGT,10.429817350631275,A
2023,kuw,Cogen,99.3220586268982,A
2023,bah,Steam,6.097669917642933,A
2023,bah,GT,0.9257002111932031,A
2023,bah,Cogen,0.7883999999999998,A
2023,bah,CCGT,15.01604454525871,A
2023,omn,Cogen,7.262069028024566,A
2023,omn,CCGT,39.71249238196741,A
2024,ksa,Steam,199.7973156253576,A
2024,ksa,GT,19.75618020013278,A
2024,ksa,PV,0.03861096394363131,A
2024,ksa,Cogen,71.47890683245782,A
2024,ksa,CCGT,243.31274794683048,A
2024,uae,GT,11.145191359544716,A
2024,uae,CoalSteam,29.360028117981386,A
2024,uae,Nuclear,42.188159999999996,A
2024,uae,PV,0.025549105149756175,A
2024,uae,CSP,0.1484136488037538,A
2024,uae,Cogen,86.24544962760496,A
2024,uae,CCGT,20.731241050984547,A
2024,qat,Steam,0.6638747615871459,A
2024,qat,GT,1.4977253122203242,A
2024,qat,Cogen,48.27373199999999,A
2024,qat,CCGT,12.60124773376369,A
2024,kuw,Cogen,104.0916309196597,A
2024,bah,Steam,6.6105993355176205,A
2024,bah,GT,1.1939529096743653,A
2024,bah,Cogen,0.7884000000000015,A
2024,bah,CCGT,15.035870843478001,A
2024,omn,Cogen,8.7108381879558,A
2024,omn,CCGT,39.860983690671624,A
2025,ksa,Steam,206.70681746304632,A
2025,ksa,GT,28.717567693091887,A
2025,ksa,PV,0.03826938536197016,A
2025,ksa,Cogen,71.47890681905355,A
2025,ksa,CCGT,255.04675507908942,A
2025,uae,GT,11.509539265648648,A
2025,uae,CoalSteam,28.994665616944005,A
2025,uae,Nuclear,42.18815999401594,A
2025,uae,PV,0.025319167129645357,A
2025,uae,CSP,0.14841400536244198,A
2025,uae,Cogen,92.68829829848082,A
2025,uae,CCGT,20.624540908714007,A
2025,qat,Steam,0.6410205826838336,A
2025,qat,GT,1.4592708426244432,A
2025,qat,Cogen,48.27373199999999,A
2025,qat,CCGT,14.76219135347479,A
2025,kuw,Cogen,108.86120319258092,A
2025,bah,Steam,7.24573303830852,A
2025,bah,GT,1.5158561478518011,A
2025,bah,Cogen,0.7883999999999999,A
2025,bah,CCGT,15.04004399999999,A
2025,omn,Cogen,10.449361179873724,A
2025,omn,CCGT,40.03917326111595,A
2026,ksa,Steam,217.4012677584673,A
2026,ksa,GT,40.58228097276891,A
2026,ksa,PV,0.037930851380509625,A
2026,ksa,Cogen,71.478906817857,A
2026,ksa,CCGT,264.3405593214624,A
2026,uae,GT,12.132882584203186,A
2026,uae,CoalSteam,28.835018315025103,A
2026,uae,Nuclear,42.18815838473982,A
2026,uae,PV,0.025088846796376362,A
2026,uae,CSP,0.14813455839684928,A
2026,uae,Cogen,97.78318750276192,A
2026,uae,CCGT,20.776109710391637,A
2026,qat,Steam,0.6410205826838333,A
2026,qat,GT,1.420816373028564,A
2026,qat,Cogen,48.27373199999998,A
2026,qat,CCGT,16.922078004352517,A
2026,kuw,Cogen,113.63077546966583,A
2026,bah,Steam,7.744491369328087,A
2026,bah,GT,1.8181062314072185,A
2026,bah,Cogen,0.7884000000000027,A
2026,bah,CCGT,15.04004399999999,A
