trun,c,cc,value,scenario
2029,qat,ksa,10.182637066590326,D
2029,kuw,ksa,0.32122468588440617,D
2029,bah,ksa,5.840000000003394,D
2029,omn,uae,3.205509846367463,D
2030,ksa,uae,0.03825564845975941,D
2030,ksa,qat,1.2647094231934655,D
2030,ksa,kuw,9.198291195884051,D
2030,uae,ksa,11.615472954653768,D
2030,uae,omn,0.5315922517970921,D
2030,qat,ksa,10.148715685022333,D
2030,kuw,ksa,2.480373539588435,D
2030,bah,ksa,5.839999999999198,D
2030,omn,uae,3.2192388118202246,D
2019,ksa,uae,0.21206724944804967,G
2019,ksa,qat,0.08256828842014419,G
2019,ksa,kuw,0.23479390451025314,G
2019,kuw,ksa,0.28132200465781054,G
2020,ksa,uae,0.23323265470937543,G
2020,ksa,qat,0.08669670220158154,G
2020,ksa,kuw,0.3227527515848723,G
2020,kuw,ksa,0.03694172747478526,G
2021,ksa,uae,1.2722011157882662,G
2021,ksa,qat,0.9123826957356153,G
2022,ksa,qat,0.27398658503401224,G
2023,ksa,qat,0.36117089860317814,G
2024,ksa,qat,0.486727214002857,G
2025,ksa,qat,0.5524877874124036,G
2026,ksa,qat,0.6343362103149777,G
2027,ksa,qat,0.6623979451969318,G
2028,ksa,qat,0.7634678141332286,G
2028,uae,omn,4.28410994395464e-08,G
2028,omn,uae,2.4386124447202576e-06,G
2029,ksa,qat,0.8319179719474122,G
2030,ksa,qat,0.8101371446120329,G
2019,ksa,qat,0.04648549723492024,H
2019,ksa,kuw,0.367153949155064,H
2019,uae,ksa,10.538529645712314,H
2019,uae,omn,0.8449851622075925,H
2019,qat,ksa,9.510220907663314,H
2019,kuw,ksa,10.075335671457701,H
2019,bah,ksa,5.839999998312648,H
2019,omn,uae,3.048348171163985,H
2020,ksa,uae,0.5541676356396874,H
2020,ksa,qat,0.3582599280689016,H
2020,ksa,kuw,0.8263778404286933,H
2020,uae,ksa,11.11132191926114,H
2020,uae,omn,0.7065732391521474,H
2020,qat,ksa,11.27566313616462,H
2020,kuw,ksa,10.779620862812648,H
2020,bah,ksa,5.840000002544736,H
2020,omn,uae,3.1754820165893642,H
2021,ksa,uae,10.556966008281439,H
2021,ksa,qat,10.30278383945016,H
2021,ksa,kuw,9.75606610925395,H
2021,uae,ksa,1.0959623533840905,H
2021,uae,omn,1.5335837388331008,H
2021,qat,ksa,1.2463425201770755,H
2021,kuw,ksa,1.8234057436238167,H
2021,bah,ksa,5.839999999993669,H
2021,omn,uae,2.3473657219913115,H
2022,ksa,uae,6.216933016633815,H
2022,ksa,qat,6.828040879472686,H
2022,ksa,kuw,11.141051394126908,H
2022,ksa,bah,2.5321677485462515,H
2022,uae,ksa,5.301345715574709,H
2022,uae,omn,3.600376595512473,H
2022,qat,ksa,4.439968335730852,H
2022,kuw,ksa,0.4121373361225515,H
2022,bah,ksa,3.1422508130422435,H
2022,omn,uae,0.1461066416154681,H
2023,ksa,uae,4.894102561670938,H
2023,ksa,qat,3.2853680182914333,H
2023,ksa,kuw,11.206371875020118,H
2023,ksa,bah,1.8914640413171755,H
2023,uae,ksa,6.602403487643011,H
2023,uae,omn,3.7345865827059552,H
2023,qat,ksa,8.291406350599653,H
2023,kuw,ksa,0.29918540527553633,H
2023,bah,ksa,3.808872156939442,H
2023,omn,uae,0.12651095209983312,H
2024,ksa,uae,4.8239284327025285,H
2024,ksa,qat,2.985097194555613,H
2024,ksa,kuw,11.108484512777759,H
2024,ksa,bah,1.8231053355836373,H
2024,uae,ksa,6.744432314111238,H
2024,uae,omn,3.7660391130191,H
2024,qat,ksa,8.547043107845651,H
2024,kuw,ksa,0.4889913538220653,H
2024,bah,ksa,3.889057818641792,H
2024,omn,uae,0.10638211217740354,H
2025,ksa,uae,4.773279922991019,H
2025,ksa,qat,3.1268875880693074,H
2025,ksa,kuw,11.148954172872896,H
2025,ksa,bah,1.8393300971147903,H
2025,uae,ksa,6.844628639991882,H
2025,uae,omn,3.58465759201656,H
2025,qat,ksa,8.406239954602542,H
2025,kuw,ksa,0.5242306463964042,H
2025,bah,ksa,3.9178296946193982,H
2025,omn,uae,0.21451059127157845,H
2026,ksa,uae,4.76903472315691,H
2026,ksa,qat,2.774136169714252,H
2026,ksa,kuw,11.09333333332977,H
2026,ksa,bah,1.8824901095933255,H
2026,uae,ksa,6.824357386181489,H
2026,uae,omn,3.5709691756292252,H
2026,qat,ksa,8.748026488512373,H
2026,kuw,ksa,0.5866666666666669,H
2026,bah,ksa,3.7757844070596187,H
2026,omn,uae,0.25314433886084636,H
2027,ksa,uae,4.73640715451621,H
2027,ksa,qat,3.031461152070437,H
2027,ksa,kuw,11.06931007993205,H
2027,ksa,bah,2.011578738949653,H
2027,uae,ksa,6.891415813607178,H
2027,uae,omn,3.540091798876018,H
2027,qat,ksa,8.50911711650795,H
2027,kuw,ksa,0.6042362306715011,H
2027,bah,ksa,3.685633857677691,H
2027,omn,uae,0.3467122853054533,H
2028,ksa,uae,4.87543344570518,H
2028,ksa,qat,3.1788559564814465,H
2028,ksa,kuw,10.879515403456079,H
2028,ksa,bah,2.3530578212178916,H
2028,uae,ksa,6.7580686261725225,H
2028,uae,omn,3.4574033782880154,H
2028,qat,ksa,8.351430334876301,H
2028,kuw,ksa,0.6530564513651576,H
2028,bah,ksa,3.3293634034649267,H
2028,omn,uae,0.376196887551848,H
2029,ksa,uae,5.177864527912931,H
2029,ksa,qat,3.0662630633065975,H
2029,ksa,kuw,10.349559409996349,H
2029,ksa,bah,2.5679418434812593,H
2029,uae,ksa,6.434883931261784,H
2029,uae,omn,3.1465552455430545,H
2029,qat,ksa,8.409896264338535,H
2029,kuw,ksa,1.0644877610069483,H
2029,bah,ksa,2.9347253903924004,H
2029,omn,uae,0.68348996096947,H
2030,ksa,uae,5.523030324931586,H
2030,ksa,qat,2.927082634064766,H
2030,ksa,kuw,10.126165239810465,H
2030,ksa,bah,2.9541788095846635,H
2030,uae,ksa,6.150054071105089,H
2030,uae,omn,3.1185766368097028,H
2030,qat,ksa,8.546032395166234,H
2030,kuw,ksa,1.3424970135017582,H
2030,bah,ksa,2.7338300288258712,H
2030,omn,uae,0.7319586698665029,H
