trun,c,ELp,value,scenario
2022,bah,Steam,1.302,A
2022,bah,GT,1.629,A
2022,bah,CC,1.94,A
2022,bah,Cogen,0.28200000000000003,A
2022,omn,CC,8.847,A
2022,omn,Cogen,2.466,A
2023,ksa,Steam,33.7512,A
2023,ksa,GT,29.97843960717957,A
2023,ksa,CC,29.951,A
2023,ksa,CCcon,5.3790000000000004,A
2023,ksa,PV,0.01489887481744824,A
2023,ksa,Cogen,14.741999999999999,A
2023,uae,GT,8.190602575912955,A
2023,uae,CC,3.96,A
2023,uae,CCcon,0.10545,A
2023,uae,CoalSteam,1.8,A
2023,uae,Nuclear,5.6,A
2023,uae,PV,0.009302276319780981,A
2023,uae,CSP,0.05,A
2023,uae,Cogen,20.57,A
2023,qat,Steam,0.4815937783115709,A
2023,qat,GT,1.6764562512678824,A
2023,qat,CC,2.9701875566230944,A
2023,qat,CCcon,0.13125,A
2023,qat,Cogen,7.796,A
2023,kuw,PV,0.009302276319780981,A
2023,kuw,Cogen,26.40930219337093,A
2023,bah,Steam,1.302,A
2023,bah,GT,1.629,A
2023,bah,CC,1.94,A
2023,bah,Cogen,0.28200000000000003,A
2023,omn,CC,9.547,A
2023,omn,Cogen,2.466,A
2024,ksa,Steam,33.7512,A
2024,ksa,GT,29.97843960717957,A
2024,ksa,CC,29.951,A
2024,ksa,CCcon,5.3790000000000004,A
2024,ksa,PV,0.014766706330178358,A
2024,ksa,Cogen,14.741999999999999,A
2024,uae,GT,8.190602575912955,A
2024,uae,CC,3.96,A
2024,uae,CCcon,0.10545,A
2024,uae,CoalSteam,4.2,A
2024,uae,Nuclear,5.6,A
2024,uae,PV,0.009218555832902953,A
2024,uae,CSP,0.05,A
2024,uae,Cogen,20.57,A
2024,qat,Steam,0.4815937783115709,A
2024,qat,GT,1.6764562512678824,A
2024,qat,CC,3.5320469646532637,A
2024,qat,CCcon,0.13125,A
2024,qat,Cogen,7.796,A
2024,kuw,PV,0.009218555832902953,A
2024,kuw,Cogen,27.01659461945007,A
2024,bah,Steam,1.302,A
2024,bah,GT,1.629,A
2024,bah,CC,1.94,A
2024,bah,Cogen,0.28200000000000003,A
2024,omn,CC,9.547,A
2024,omn,Cogen,2.466,A
2025,ksa,Steam,33.7512,A
2025,ksa,GT,29.97843960717957,A
2025,ksa,CC,29.951,A
2025,ksa,CCcon,5.3790000000000004,A
2025,ksa,PV,0.014635717752363468,A
2025,ksa,Cogen,14.741999999999999,A
2025,uae,GT,8.190602575912955,A
2025,uae,CC,3.96,A
2025,uae,CCcon,0.10545,A
2025,uae,CoalSteam,4.2,A
2025,uae,Nuclear,5.6,A
2025,uae,PV,0.009135588830406827,A
2025,uae,CSP,0.05,A
2025,uae,Cogen,20.57,A
2025,qat,Steam,0.4815937783115709,A
2025,qat,GT,1.6764562512678824,A
2025,qat,CC,4.093906372683409,A
2025,qat,CCcon,0.13125,A
2025,qat,Cogen,7.796,A
2025,kuw,PV,0.009135588830406827,A
2025,kuw,Cogen,27.93617837624566,A
2025,bah,Steam,1.302,A
2025,bah,GT,1.629,A
2025,bah,CC,1.94,A
2025,bah,Cogen,0.28200000000000003,A
2025,omn,CC,9.547,A
2025,omn,Cogen,2.466,A
2026,ksa,Steam,33.7512,A
2026,ksa,GT,29.97843960717957,A
2026,ksa,CC,29.951,A
2026,ksa,CCcon,5.3790000000000004,A
2026,ksa,PV,0.014505898512853128,A
2026,ksa,Cogen,14.741999999999999,A
2026,uae,GT,8.190602575912955,A
2026,uae,CC,3.96,A
2026,uae,CCcon,0.10545,A
2026,uae,CoalSteam,4.2,A
2026,uae,Nuclear,5.6,A
2026,uae,PV,0.009053368530933165,A
2026,uae,CSP,0.05,A
2026,uae,Cogen,20.57,A
2026,qat,Steam,0.4815937783115709,A
2026,qat,GT,1.6764562512678824,A
2026,qat,CC,4.655765780713557,A
2026,qat,CCcon,0.13125,A
2026,qat,Cogen,7.796,A
2026,kuw,PV,0.009053368530933165,A
2026,kuw,Cogen,28.855762130091133,A
2026,bah,Steam,1.302,A
2026,bah,GT,1.629,A
2026,bah,CC,1.94,A
2026,bah,Cogen,0.28200000000000003,A
2026,omn,CC,9.547,A
2026,omn,Cogen,2.466,A
2027,ksa,Steam,33.7512,A
2027,ksa,GT,29.97843960717957,A
2027,ksa,CC,31.214156244172635,A
2027,ksa,CCcon,5.3790000000000004,A
2027,ksa,PV,0.014377238135397076,A
2027,ksa,Cogen,14.741999999999999,A
2027,uae,Steam,9.654429097196055e-08,A
2027,uae,GT,8.190602575912955,A
2027,uae,CC,3.97120270763861,A
2027,uae,CCcon,0.10545,A
2027,uae,CoalSteam,4.2000004942079,A
2027,uae,Nuclear,5.6,A
2027,uae,PV,0.008971888214154766,A
2027,uae,CSP,0.05,A
2027,uae,Cogen,20.57,A
2027,qat,Steam,0.4815937783115709,A
2027,qat,GT,1.6764562512678824,A
2027,qat,CC,5.297890818462287,A
2027,qat,CCcon,0.13125,A
2027,qat,Cogen,7.796,A
2027,kuw,PV,0.008971888214154766,A
2027,kuw,Cogen,29.906714992044186,A
2027,bah,Steam,1.302,A
2027,bah,GT,1.629,A
2027,bah,CC,1.94,A
2027,bah,Cogen,0.28200000000000003,A
2027,omn,CC,9.547,A
2027,omn,Cogen,2.466,A
2028,ksa,Steam,33.7512,A
2028,ksa,GT,29.97843960717957,A
2028,ksa,CC,37.19420065411718,A
2028,ksa,CCcon,5.3790000000000004,A
2028,ksa,PV,0.01424972623779233,A
2028,ksa,Cogen,14.741999999999999,A
2028,uae,Steam,9.654429097196055e-08,A
2028,uae,GT,8.190602575912955,A
2028,uae,CC,4.372547603283535,A
2028,uae,CCcon,0.10545,A
2028,uae,CoalSteam,4.2000004942079,A
2028,uae,Nuclear,5.6,A
